This table is found at TSOProtocolsD_base+0x5b9b8 in TSO Pre-Alpha.

0x08EBDAC3: kWCMBMPID_LogoColorBuffer
0x08F39EDD: GZCLSID_cTSORoofUndoable
0x08FAC4BB: GZCLSID_cTSOMapTileSwatch
0x08FBE85E: GZIID_cITSOScrapbook
0x08D6E462: kGZGUID_GZWinIid
0x08E94FF3: kDefaultServiceID
0x08F126EB: GZIID_cISndDataSource
0x08FD7991: kID
0x08FE439C: kGZCLSID_cTestCompGeomBoundsIntersections
0x090F8619: kGZCLSID_cGZDBSegmentMultiPackedFiles
0x0919D3BC: GZIID_cITSORegistryKey
0x0919D7C3: kHKEY_CURRENT_CONFIG
0x092B2A57: kServerCreateObjectEvent
0x092B2A58: kClientCreateObjectEvent
0x092B2A59: kServerKillObjectEvent
0x092B2A5A: kClientKillObjectEvent
0x092B2A5B: kServerCancelInteractionEvent
0x092B2A5C: kClientCancelInteractionEvent
0x092DB7FD: kTSODataSourceInstance_FARFile_Default
0x092DBF7D: kMSGID_DoorPluginStateUpdate
0x092DC4DC: GZCLSID_cFetchProtocol_StringSet
0x09488E0E: kMSGID_ClearFilterResults
0x0948B2E0: kCommandCut
0x0948B2F1: kCommandQuit
0x0948B2F3: kCommandSave
0x0948B321: kCMDID_PieChar
0x0949E698: GZCLSID_cTSOScoreboardPlugin
0x0949E69C: kMSGID_TSOScoreboardPluginInitClient
0x0949E6B0: GZIID_cITSOScoreboardPlugin
0x094ABAE0: GZCLSID_cTSOMessage
0x094ABAE6: GZIID_cITSOMessage
0x094FCC94: kMSGID_MessageCacheFlushed
0x095035F4: kGZIID_cIParser
0x09515E7E: kMSGID_SearchReceivedResults
0x0952AF37: kErrInsertDupeName
0x0956DF45: GZCLSID_cTSOChangeWorld
0x095D57ED: GZIID_cITSORemoteTool
0x09614AE1: kCMDID_Resize
0x096271D5: kMSGID_PaintSelf
0x09628008: kMSGID_FilterAttach
0x09628012: kMSGID_FilterDetach
0x09628022: kMSGID_Shutdown
0x0962808C: kMSGID_Init
0x096517B9: GZIID_cIDBDeleteObjectsByHouseID_Response
0x096517BE: GZCLSID_cDBDeleteObjectsByHouseID_Response
0x096BC851: GZIID_cDDLInputCollector
0x096EE6A7: GZIID_cITSOObjectAggregateSim
0x096EE6A8: GZCLSID_cTSOObjectAggregate
0x096EE6B7: GZGUID_cTSOObjectAggregateSim
